Date,CCTV_ID,Timestamp,Track_ID,Image_Path,Brand,Color,Type,first_seen_ts,last_seen_ts,first_seen_iso,last_seen_iso
22-05-2026,CCTV02,05:00:38,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-38_f000356_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:38,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-38_f000356_crop.jpg,Honda,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV05,05:00:38,24,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV05/CCTV05_track_24_Car_22-05-2026_05-00-38_f000356_crop.jpg,Ford,Gray,Car,1779400831,1779400839,2026-05-22T05:00:31.468053,2026-05-22T05:00:39.046062
22-05-2026,CCTV02,05:00:39,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-39_f000357_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000357_crop.jpg,Toyota,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV05,05:00:39,24,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV05/CCTV05_track_24_Car_22-05-2026_05-00-39_f000357_crop.jpg,Ford,Gray,Car,1779400831,1779400839,2026-05-22T05:00:31.468053,2026-05-22T05:00:39.046062
22-05-2026,CCTV02,05:00:39,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-39_f000358_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000358_crop.jpg,Isuzu,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000359_crop.jpg,Honda,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000360_crop.jpg,Honda,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000361_crop.jpg,Honda,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000362_crop.jpg,Isuzu,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV02,05:00:39,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-39_f000363_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:39,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-39_f000363_crop.jpg,Isuzu,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV02,05:00:40,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-40_f000364_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:40,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-40_f000364_crop.jpg,Isuzu,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
22-05-2026,CCTV02,05:00:40,27,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV02/CCTV02_track_27_Motorbike_22-05-2026_05-00-40_f000365_crop.jpg,Unknown,Gray,Motorbike,1779400837,1779400840,2026-05-22T05:00:37.857355,2026-05-22T05:00:40.234770
22-05-2026,CCTV04,05:00:40,25,/home/exp2/project/team-models/detector/Yolov3-tiny/outputs/mux5_run_20260522_045945_chunk0001/crop_img/CCTV04/CCTV04_track_25_Car_22-05-2026_05-00-40_f000365_crop.jpg,Chevrolet,Gray,Car,1779400834,1779400840,2026-05-22T05:00:34.142645,2026-05-22T05:00:40.234770
